|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 14 QTD pct-change|13.8|2.1|14.5|10.6|8.1|13.5|10.3|7.8|5.3|11.7|28.1|2.5|11.1|7.7|15.0|0.2|173.1|21.6|8.0|21.4|0.7|3.6|1.0|0.9|0.8||||||||||
Week 14 2018 YTD|37738.0|27796.0|3370.0|29364.0|138487.0|40998.0|37920.0|7066.0|15711.0|39643.0|39002.0|57010.0|30051.0|16885.0|32896.0|122122.0|9066.0|209878.0|13560.0|17264.0|925827.0|29933.0|714184.0|744117.0|1669944.0||||||||||
Week 14 2017 YTD|42744.0|29287.0|3188.0|29528.0|152228.0|42763.0|38641.0|7319.0|15936.0|39074.0|50332.0|60283.0|30559.0|19580.0|37650.0|129264.0|10438.0|206414.0|15580.0|18941.0|979735.0|27917.0|713791.0|741708.0|1721443.0||||||||||
Week 14 YTD pct-change|11.7|5.1|5.7|0.6|9.0|4.1|1.9|3.5|1.4|1.5|22.5|5.4|1.7|13.8|12.6|5.5|13.1|1.7|13.0|8.9|5.5|7.2|0.1|0.3|3.0||||||||||
Week 13 2018|3530.0|1785.0|163.0|2216.0|9938.0|3049.0|3089.0|488.0|1347.0|3073.0|2977.0|5139.0|2363.0|1324.0|2538.0|9142.0|438.0|16856.0|1040.0|1015.0|71510.0|2139.0|51976.0|54115.0|125625.0||||||||||
Week 13 2017|2331.0|1961.0|230.0|2290.0|10915.0|2604.0|2952.0|496.0|1313.0|2724.0|4088.0|5257.0|2561.0|1626.0|2532.0|9391.0|313.0|13330.0|1286.0|1035.0|69235.0|1975.0|53368.0|55343.0|124578.0||||||||||
Week 13 pct-change|51.4|9.0|29.1|3.2|9.0|17.1|4.6|1.6|2.6|12.8|27.2|2.2|7.7|18.6|0.2|2.7|39.9|26.5|19.1|1.9|3.3|8.3|2.6|2.2|0.8||||||||||
Week 13 2018 QTD|35036.0|25802.0|3133.0|27196.0|128445.0|38441.0|35438.0|6638.0|14501.0|36647.0|36423.0|51895.0|27881.0|15685.0|30573.0|112411.0|8222.0|192980.0|12583.0|16056.0|855986.0|27900.0|662808.0|690708.0|1546694.0||||||||||
Week 13 2017 QTD|39610.0|27251.0|2981.0|27103.0|141295.0|39808.0|35873.0|6855.0|14658.0|36393.0|46746.0|55039.0|28119.0|18466.0|34918.0|119576.0|10129.0|192516.0|14675.0|17405.0|909402.0|25955.0|661886.0|687841.0|1597243.0||||||||||
Week 13 QTD pct-change|11.5|5.3|5.1|0.3|9.1|3.4|1.2|3.2|1.1|0.7|22.1|5.7|0.8|15.1|12.4|6.0|18.8|0.2|14.3|7.8|5.9|7.5|0.1|0.4|3.2||||||||||
Week 13 2018 YTD|35036.0|25802.0|3133.0|27196.0|128445.0|38441.0|35438.0|6638.0|14501.0|36647.0|36423.0|51895.0|27881.0|15685.0|30573.0|112411.0|8222.0|192980.0|12583.0|16056.0|855986.0|27900.0|662808.0|690708.0|1546694.0||||||||||
Week 13 2017 YTD|39610.0|27251.0|2981.0|27103.0|141295.0|39808.0|35873.0|6855.0|14658.0|36393.0|46746.0|55039.0|28119.0|18466.0|34918.0|119576.0|10129.0|192516.0|14675.0|17405.0|909402.0|25955.0|661886.0|687841.0|1597243.0||||||||||
Week 13 YTD pct-change|11.5|5.3|5.1|0.3|9.1|3.4|1.2|3.2|1.1|0.7|22.1|5.7|0.8|15.1|12.4|6.0|18.8|0.2|14.3|7.8|5.9|7.5|0.1|0.4|3.2||||||||||
Week 12 2018|2727.0|2163.0|212.0|2203.0|9973.0|2837.0|2685.0|499.0|1196.0|2908.0|2871.0|4498.0|2506.0|1403.0|2182.0|9136.0|788.0|16211.0|974.0|1892.0|69864.0|2204.0|52569.0|54773.0|124637.0||||||||||
Week 12 2017|2923.0|2059.0|220.0|2252.0|10836.0|3052.0|2845.0|576.0|1301.0|2651.0|3567.0|4509.0|2456.0|1603.0|2968.0|9980.0|141.0|15824.0|1271.0|1058.0|72092.0|1771.0|52973.0|54744.0|126836.0||||||||||
